sample_id,clause_id,source_locator,classification,criticality,proposed_evidence,accountable_owner,mapping_minutes,requires_interpretation,current_tool_already_handles,notes
thecb-sow-781-5-03717,c01,PDF p.9 §3.4 Project Plan,,,,,,,,
thecb-sow-781-5-03717,c02,PDF p.9 §3.4 Data Migration Plan,,,,,,,,
thecb-sow-781-5-03717,c03,PDF p.9 §3.4 User Acceptance Testing Plan,,,,,,,,
thecb-sow-781-5-03717,c04,PDF p.9 §3.4 Data Migration to UAT,,,,,,,,
thecb-sow-781-5-03717,c05,PDF p.9 §3.4 Data Migration to Production,,,,,,,,
thecb-sow-781-5-03717,c06,PDF p.9 §3.4 System Configuration,,,,,,,,
thecb-sow-781-5-03717,c07,PDF p.9 §3.4 Knowledge Transfer,,,,,,,,
thecb-sow-781-5-03717,c08,PDF p.10 §3.4 Hypercare,,,,,,,,
thecb-sow-781-5-03717,c09,PDF p.10 §3.5 Acceptance Criteria and written sign-off,,,,,,,,
thecb-sow-781-5-03717,c10,PDF p.10 §3.5 latent-defect correction,,,,,,,,
caloes-ifb-8500-2016-sow-appendix-a,c01,printed p.27 Acceptance Testing Criteria ¶1,,,,,,,,
caloes-ifb-8500-2016-sow-appendix-a,c02,printed p.27 Acceptance Testing Criteria ¶2,,,,,,,,
caloes-ifb-8500-2016-sow-appendix-a,c03,printed p.27 Acceptance Testing Criteria ¶3,,,,,,,,
caloes-ifb-8500-2016-sow-appendix-a,c04,printed p.27 Acceptance Testing Criteria ¶4,,,,,,,,
caloes-ifb-8500-2016-sow-appendix-a,c05,printed p.28 Acceptance Testing Criteria ¶7,,,,,,,,
caloes-ifb-8500-2016-sow-appendix-a,c06,printed p.28 Acceptance Testing Criteria ¶10,,,,,,,,
caloes-ifb-8500-2016-sow-appendix-a,c07,printed pp.28-29 Acceptance Testing Criteria ¶12,,,,,,,,
caloes-ifb-8500-2016-sow-appendix-a,c08,printed p.29 §1.11.2 System Acceptance Testing,,,,,,,,
caloes-ifb-8500-2016-sow-appendix-a,c09,printed p.30 §1.11.3 Acceptance Testing for Software,,,,,,,,
caloes-ifb-8500-2016-sow-appendix-a,c10,printed p.30 §1.11.3 application-program testing paragraph,,,,,,,,
